fsid,adaptation
541114211,
540456284,
541229206,
540563324,
541262690,
540651172,
540321926,
541397402,
540835968,
540951325,
540695623,
541245323,
540039428,
540611506,
540451980,
540206660,
541247265,
540793246,
540706732,
540629760,
541008337,
541389052,
540419962,
541268364,
541296035,
541034820,
540151216,
540397030,
541156316,
540886492,
541168970,
541228788,
541082842,
541277095,2687
540635265,
540924465,
540179113,
540368183,
540802128,
540157051,
540599292,
540701698,
541127065,
540381378,
540941201,
540478428,
540608643,
541214101,
541004243,
540805761,
540665287,
541328658,
541335961,
540256544,
540407071,
541312162,
541145330,
540315374,
540788900,
540147226,
540040622,
540768481,
541384755,
540357885,
540515000,6
541332038,
541047688,
541087067,
540721665,
540091226,
540607839,
540504076,
540875832,
541166362,
540797133,
540125960,
541346812,
540527811,
540244513,
540008761,
540596191,
540895270,
541064762,
540230274,
540795875,
540227193,
540090262,
540172768,
541145379,
541315376,
541116604,
541156105,
540036470,
541106092,
540735988,
540108945,
540917463,
540685278,
540174281,
540774311,
